Dataset,Battery,Model,Backbone,DSConv-L,LGFA,MAE,RMSE,MAPE,Average,Reduction
Oxford,Cell2,M1,✓,,,0.00490,0.00757,0.00598,0.00615,3.94%
Oxford,Cell2,M2,✓,✓,,0.00478,0.00776,0.00586,0.00614,3.69%
Oxford,Cell2,M3,✓,,✓,0.00476,0.00739,0.00582,0.00599,1.39%
Oxford,Cell2,M4 (Proposed),✓,✓,✓,0.00473,0.00722,0.00578,0.00591,
Oxford,Cell5,M1,✓,,,0.00361,0.00424,0.00410,0.00399,24.66%
Oxford,Cell5,M2,✓,✓,,0.00354,0.00429,0.00408,0.00397,24.34%
Oxford,Cell5,M3,✓,,✓,0.00317,0.00376,0.00360,0.00351,14.47%
Oxford,Cell5,M4 (Proposed),✓,✓,✓,0.00272,0.00323,0.00306,0.00300,
Oxford,Cell7,M1,✓,,,0.00787,0.00831,0.00905,0.00841,33.24%
Oxford,Cell7,M2,✓,✓,,0.00744,0.00787,0.00856,0.00796,29.43%
Oxford,Cell7,M3,✓,,✓,0.00565,0.00617,0.00651,0.00611,8.12%
Oxford,Cell7,M4 (Proposed),✓,✓,✓,0.00518,0.00566,0.00601,0.00562,
Oxford,Cell8,M1,✓,,,0.00433,0.00525,0.00495,0.00484,11.06%
Oxford,Cell8,M2,✓,✓,,0.00420,0.00505,0.00487,0.00471,8.53%
Oxford,Cell8,M3,✓,,✓,0.00394,0.00484,0.00462,0.00447,3.56%
Oxford,Cell8,M4 (Proposed),✓,✓,✓,0.00384,0.00467,0.00441,0.00431,
CALCE-CX2,CX2_37,M1,✓,,,0.01971,0.02579,0.02728,0.02426,39.70%
CALCE-CX2,CX2_37,M2,✓,✓,,0.01834,0.02493,0.02537,0.02288,36.05%
CALCE-CX2,CX2_37,M3,✓,,✓,0.01379,0.02080,0.01946,0.01802,18.81%
CALCE-CX2,CX2_37,M4 (Proposed),✓,✓,✓,0.01021,0.01883,0.01485,0.01463,
CALCE-CX2,CX2_38,M1,✓,,,0.02485,0.03376,0.12016,0.05959,30.16%
CALCE-CX2,CX2_38,M2,✓,✓,,0.02411,0.03258,0.11317,0.05662,26.50%
CALCE-CX2,CX2_38,M3,✓,,✓,0.02145,0.03154,0.11469,0.05589,25.54%
CALCE-CX2,CX2_38,M4 (Proposed),✓,✓,✓,0.01570,0.02594,0.08321,0.04162,
CALCE-CS2,CS2_37,M1,✓,,,0.00825,0.01277,0.01112,0.01071,11.97%
CALCE-CS2,CS2_37,M2,✓,✓,,0.00793,0.01235,0.01046,0.01025,7.97%
CALCE-CS2,CS2_37,M3,✓,,✓,0.00796,0.01235,0.01024,0.01019,7.42%
CALCE-CS2,CS2_37,M4 (Proposed),✓,✓,✓,0.00727,0.01159,0.00943,0.00943,
