数据集,组,模型,R2,RMSE,MAE,MAPE%,Average
cs,cs36,CNN_LSTM,0.99496,0.01439,0.00904,1.49837,0.01281
cs,cs36,CNN_Transformer,0.99399,0.01567,0.01209,1.90908,0.01562
cs,cs36,LSTM,0.99566,0.01335,0.00821,1.29798,0.01151
cs,cs36,Transformer,0.99341,0.01629,0.01161,1.88656,0.01559
cs,cs36,MS_AgentNet,0.99622,0.01245,0.00757,1.18542,0.01062
cs,cs37,CNN_LSTM,0.99015,0.01339,0.00881,1.14902,0.01121
cs,cs37,CNN_Transformer,0.98722,0.01520,0.01144,1.48536,0.01383
cs,cs37,LSTM,0.99251,0.01168,0.00730,0.94747,0.00949
cs,cs37,Transformer,0.98741,0.01491,0.01087,1.44306,0.01341
cs,cs37,MS_AgentNet,0.99262,0.01159,0.00727,0.94323,0.00944
cs,cs38,CNN_LSTM,0.97454,0.01954,0.01355,1.81717,0.01709
cs,cs38,CNN_Transformer,0.97211,0.02035,0.01462,1.94416,0.01807
cs,cs38,LSTM,0.97906,0.01774,0.01276,1.70825,0.01586
cs,cs38,Transformer,0.97055,0.02072,0.01478,2.01958,0.01856
cs,cs38,MS_AgentNet,0.97921,0.01767,0.01205,1.61927,0.01531
cx,cx36,CNN_LSTM,0.98733,0.02009,0.01303,2.37362,0.01894
cx,cx36,CNN_Transformer,0.98763,0.01985,0.01315,2.33776,0.01879
cx,cx36,LSTM,0.98712,0.02026,0.01262,2.30874,0.01865
cx,cx36,Transformer,0.98204,0.02374,0.01700,2.97333,0.02345
cx,cx36,MS_AgentNet,0.98701,0.02034,0.01232,2.26460,0.01844
cx,cx37,CNN_LSTM,0.97242,0.01998,0.01132,1.62667,0.01585
cx,cx37,CNN_Transformer,0.97230,0.01998,0.01141,1.63472,0.01591
cx,cx37,LSTM,0.97519,0.01896,0.00997,1.44184,0.01445
cx,cx37,Transformer,0.96190,0.02333,0.01648,2.30300,0.02093
cx,cx37,MS_AgentNet,0.97548,0.01883,0.01021,1.48478,0.01463
cx,cx38,CNN_LSTM,0.97793,0.03875,0.02143,15.20750,0.07069
cx,cx38,CNN_Transformer,0.98736,0.02970,0.01867,10.87933,0.05221
cx,cx38,LSTM,0.97654,0.04042,0.02165,16.07345,0.07427
cx,cx38,Transformer,0.97489,0.04169,0.02703,16.51349,0.07795
cx,cx38,MS_AgentNet,0.99025,0.02594,0.01570,8.32110,0.04213
oxford,cell1,CNN_LSTM,0.99793,0.00278,0.00212,0.25239,0.00247
oxford,cell1,CNN_Transformer,0.99222,0.00524,0.00452,0.53546,0.00503
oxford,cell1,LSTM,0.99877,0.00215,0.00157,0.18561,0.00186
oxford,cell1,Transformer,0.98023,0.00828,0.00720,0.84129,0.00796
oxford,cell1,MS_AgentNet,0.99890,0.00201,0.00165,0.19821,0.00188
oxford,cell2,CNN_LSTM,0.98352,0.00861,0.00568,0.68584,0.00702
oxford,cell2,CNN_Transformer,0.98198,0.00897,0.00626,0.75815,0.00760
oxford,cell2,LSTM,0.99100,0.00636,0.00400,0.48751,0.00507
oxford,cell2,Transformer,0.97454,0.01051,0.00829,0.97992,0.00953
oxford,cell2,MS_AgentNet,0.98825,0.00722,0.00473,0.57781,0.00591
oxford,cell3,CNN_LSTM,0.99378,0.00479,0.00393,0.46292,0.00445
oxford,cell3,CNN_Transformer,0.99088,0.00564,0.00489,0.57214,0.00542
oxford,cell3,LSTM,0.99564,0.00402,0.00334,0.39647,0.00377
oxford,cell3,Transformer,0.97654,0.00871,0.00733,0.84319,0.00815
oxford,cell3,MS_AgentNet,0.99711,0.00325,0.00260,0.30886,0.00298
oxford,cell4,CNN_LSTM,0.96820,0.00931,0.00855,1.00920,0.00932
oxford,cell4,CNN_Transformer,0.96326,0.00986,0.00895,1.05305,0.00978
oxford,cell4,LSTM,0.97327,0.00856,0.00753,0.89676,0.00835
oxford,cell4,Transformer,0.94307,0.01111,0.01003,1.15222,0.01089
oxford,cell4,MS_AgentNet,0.98018,0.00734,0.00654,0.77573,0.00721
oxford,cell5,CNN_LSTM,0.98519,0.00509,0.00426,0.47640,0.00470
oxford,cell5,CNN_Transformer,0.97905,0.00603,0.00515,0.57344,0.00564
oxford,cell5,LSTM,0.99042,0.00411,0.00337,0.38321,0.00377
oxford,cell5,Transformer,0.93682,0.00988,0.00846,0.94176,0.00925
oxford,cell5,MS_AgentNet,0.99403,0.00323,0.00272,0.30594,0.00300
oxford,cell6,CNN_LSTM,0.96171,0.00945,0.00675,0.79869,0.00806
oxford,cell6,CNN_Transformer,0.95812,0.00981,0.00759,0.88361,0.00868
oxford,cell6,LSTM,0.96962,0.00843,0.00620,0.73323,0.00732
oxford,cell6,Transformer,0.93246,0.01166,0.00993,1.13127,0.01097
oxford,cell6,MS_AgentNet,0.97256,0.00799,0.00487,0.58373,0.00623
oxford,cell7,CNN_LSTM,0.97447,0.00819,0.00769,0.88526,0.00825
oxford,cell7,CNN_Transformer,0.97872,0.00736,0.00665,0.76472,0.00722
oxford,cell7,LSTM,0.98419,0.00648,0.00623,0.71859,0.00663
oxford,cell7,Transformer,0.93764,0.01193,0.01115,1.27517,0.01195
oxford,cell7,MS_AgentNet,0.98682,0.00580,0.00518,0.60066,0.00566
oxford,cell8,CNN_LSTM,0.98661,0.00711,0.00567,0.64362,0.00640
oxford,cell8,CNN_Transformer,0.98615,0.00723,0.00582,0.66165,0.00655
oxford,cell8,LSTM,0.99588,0.00395,0.00341,0.39433,0.00377
oxford,cell8,Transformer,0.97721,0.00901,0.00760,0.86905,0.00844
oxford,cell8,MS_AgentNet,0.99425,0.00467,0.00384,0.44137,0.00433
mit,mit_c9,CNN_LSTM,0.99929,0.00097,0.00076,0.08114,0.00085
mit,mit_c9,CNN_Transformer,0.99825,0.00150,0.00109,0.11744,0.00125
mit,mit_c9,LSTM,0.99913,0.00107,0.00082,0.08802,0.00092
mit,mit_c9,Transformer,0.99824,0.00152,0.00121,0.12913,0.00134
mit,mit_c9,MS_AgentNet,0.99939,0.00089,0.00066,0.07075,0.00076
mit,mit_c13,CNN_LSTM,0.99135,0.00371,0.00234,0.25586,0.00287
mit,mit_c13,CNN_Transformer,0.99125,0.00371,0.00237,0.26060,0.00289
mit,mit_c13,LSTM,0.99485,0.00282,0.00181,0.19881,0.00221
mit,mit_c13,Transformer,0.99083,0.00379,0.00256,0.27892,0.00303
mit,mit_c13,MS_AgentNet,0.99686,0.00222,0.00143,0.15647,0.00174
mit,mit_c29,CNN_LSTM,0.99229,0.00354,0.00302,0.32397,0.00326
mit,mit_c29,CNN_Transformer,0.99269,0.00345,0.00304,0.32670,0.00325
mit,mit_c29,LSTM,0.99457,0.00290,0.00259,0.27752,0.00276
mit,mit_c29,Transformer,0.98882,0.00425,0.00374,0.40035,0.00400
mit,mit_c29,MS_AgentNet,0.99634,0.00244,0.00211,0.22722,0.00228
